	三字經	san1 tzŭ4 ching1	three | word | classic	
329	爾幼學	erh2 yu4 hsüeh2	you | young | learn	You young learners
330	勉而致	mien3 êrh2 chih4	effort | and | cause	strive to bring about a like result.
331	有為者	yu3 wei2 chê3	have | do | one	Those who work
332	亦若是	i4 jo4 shih4	also | like | this	will also succeed as he did.
333	犬守夜	ch'üan3 shou3 yeh4	dog | guard | night	The dog keeps guard by night;
334	鷄司晨	chi1 ssŭ1 ch'ên2	cock | rule | dawn	the cock proclaims the dawn.
335	苟不學	kou3 pu4 hsüeh2	if | not | learn	If foolishly you do not study,
336	曷為人	ho2 wei2 jen2	how | become | man	how can you become men?
337	蠶吐絲	ts'an2 t'u3 ssŭ1	silkworm | vomit | silk	The silkworm produces silk,
338	蜂釀蜜	fêng1 niang4 mi4	bee | ferment | honey	the bee makes honey.
339	人不學	jen2 pu1 hsüeh2	man | not | learn	If a man does not learn,
340	不如物	pu1 ju2 wu4	not | like | thing	he is not equal to the brutes.
341	幼而學	yu4 êrh2 hsüeh2	young | and | learn	Learn while young,
342	壯而行	chuang4 êrh2 hsing2	strong | and | act	and when grown up apply what you have learnt;
343	上致君	shang4 chih4 chün1	above | cause | ruler	influencing the sovereign above;
344	下澤民	hsia4 tsê2 min2	below | fertilise | people	benefiting the people below.
345	揚名聲	yang2 ming2 shêng1	raise | name | sound	Make a name for yourselves,
346	顯父母	hsien3 fu4 mu3	display | father | mother	and glorify your father and mother,
347	光於前	kuang1 yü2 ch'ien2	bright | on | before	shed lustre on your ancestors,
348	裕於後	yü4 yü2 hou4	abundant | on | after	enrich your posterity.
349	人遺子	jen2 i2 tzŭ3	man | bequeath | child	Men bequeath to their children
350	金滿籯	chin1 man3 ying2	metal | full | coffer	coffers of gold;
351	我教子	wo3 chiao4 tzŭ3	i | teach | child	I teach you children
352	惟一經	wei2 i1 ching1	only | one | classic	only this one book.
353	勤有功	ch'in2 yu3 kung1	diligent | have | merit	Diligence has its reward;
354	戲無益	hsi4 wu2 i4	play | not | add	play has no advantages.
355	戒之哉	chieh4 chih1 tsai1	guard | it | oh	Oh, be on your guard,
356	宜勉力	i2 mien3 li4	ought | effort | strength	and put forth your strength.
80A	惟牛羊	wei2 niu2 yang2	think | ox | sheep	Especially of the ox and dog
80B	功最著	kung1 tsui4 chu4	merit | very | manifest	is the merit most conspicuous;
80C	能耕田	nêng2 kêng1 t'ien2	can | plough | field	one can plough the fields,
80D	能守戶	nêng2 shou3 hu4	can | guard | door	the other can guard the house
80E	昧天良	mei4 t'ien1 liang2	dark | heaven | good	It is to obscure your natural goodness of disposition,
80F	屠市肆	t'u2 shih4 ssŭ4	kill | market | shop	To kill them and expose them for sale.
80G	戒勿食	chieh4 wu4 shih2	beware | not | eat	Beware of eating them,
80H	免罪處	mien3 tsui4 ch'u3	avoid | guilt | punishment	and so avoid being punished.
160A	道淵源	tao4 yüan1 yüan2	speak | abyss | source	It discusses hidden springs of action,
160B	習禮義	hsi2 li3 i4	practise | ceremonial | duty	and deals with ceremonial and man's duty to his neighbour.
254A	遼與金	liao2 yü3 chin1	liao | with | chin	Under the Liao and the Chin dynasties,
254B	帝號紛	ti4 hao4 fên1	ruler | name | confusion	there was confusion of Imperial titles;
254C	逮滅遼	tai4 mieh4 liao2	reach | destroy | liao	when the Liao dynasty was destroyed,
254D	宋猶存	sung4 yu2 ts'un2	sung | still | keep	the Sung dynasty still remained.
254E	至元興	chih4 yüan2 hsing1	arrive | yüan | arise	When the Yüan dynasty arose,
254F	金緒歇	chin1 hsü4 hsieh1	chin | clue | cease	the line of the Chin Tartars came to an end,
254G	有宋世	yu3 sung4 shih4	have | sung | generation	and the House of Sung
254H	一同滅	i1 t'ung2 mieh4	one | destroy | together	was destroyed together with it.
254I	幷中國	ping4 chung1 kuo2	unite | middle | nation	It united the Middle Kingdom,
254J	兼戎翟	chien1 jung2 ti3	unite | jung | ti	and attached to the empire the tribes of the north and west.
254K	明太祖	ming2 t'ai4 tsu3	ming | extreme | ancestor	The founder of the Ming  dynasty
254L	久親師	chiu3 ch'in1 shih1	long | personal | soldier	was for a long time engaged in warfare.
254M	傳建文	ch'uan2 chien4 wên2	transmit | chien | wên	He had transmitted the throne to Chien Wên
254N	方四祀	fang1 ssŭ4 ssŭ4	only | four | year	only four years,
254O	遷北京	ch'ien1 pei3 ching1	remove | north | capital	when the capital was transferred to Peking,
254P	永樂嗣	yung3 lo4 ssŭ4	yung | lo | connect	and Yung Lo succeeded the latter.
254Q	逮崇禎	tai4 ch'ung2 cheng1	reach | ch'ung | chêng	At length Ch'ung Chêng
254R	煤山逝	mei2 shan1 shih4	coal | hill | pass	died on the Coal Hill.
254a	遼與金	liao2 yü3 chin1	liao | with | chin	The Liao Tartars and the Chin Tartars
254b	皆稱帝	chieh1 ch'êng1 ti4	all | style | ruler	all took the Imperial title.
254c	元滅金	yüan2 mieh4 chin1	yüan | extinguish | chin	The Yüans (Mongols) destroyed the Chin Tartars,
254d	絕宋世	chüeh2 sung4 shih4	end | sung | generations	and put an end to the House of Sung.
254e	蒞中國	li4 chung1 kuo2	govern | middle | state	They governed the Middle Kingdom,
254f	兼戎翟	chien1 jung2 ti2	together | jung | ti	and also the wild tribes of the north and west;
254g	九十年	chiu3 shih2 nien2	nine | ten | years	after ninety years
254h	國祚廢	kuo2 tsu4 fei4	state | prosperity | fail	their mandate was exhausted.
254i	太祖興	t'ai4 tsu3 hsing1	extreme | ancestor | arise	Then T'ai Tsu arose,
254j	國大明	kuo2 ta4 ming2	state | great | bright	his dynasty being known as Ta Ming.
254k	號洪武	hao4 hung2 wu3	style | vast | military	He took as his year-title Hung Wu,
254l	都金陵	tu1 chin1 ling2	capital | gold | tombs	and fixed his capital at Chin-ling (Nanking).
254m	逮成祖	tai4 ch'êng2 tsu3	reach | complete | ancestor	At length, under the Emperor Ch'êng Tsu,
254n	遷燕京	ch'ien1 yen1 ching1	move | swallow | capital	a move was made to the Swallow City (Peking).
254o	十七世	shih2 ch'i1 shih4	ten | seven | generation	There were seventeen reigns in all,
254p	至崇禎	chih4 ch'ung2 chêng1	reach | eminent | auspicious	down to and including Ch'ung Chêng.
254q	權奄肆	ch'üan2 yen1 ssŭ4	power | extend | loose	The hold on the people was relaxed,
254r	寇如林	k'ou4 ju2 lin2	rebels | like | forests	and rebels sprang up thick as forests.
254s	至李闖	chih4 li2 ch'uang3	reach | li | ch'uang	Then came Li Ch'uang,
254t	神器焚	shên2 chi'i4 fên2	divine | utensil | burn	and the Imperial regalia were destroyed.
254u	清太祖	ch'ing1 t'ai4 tsu3	pure | extreme | ancestor	The founder of the Ch'ing or Pure dynasty
254v	應景命	ying4 ching3 ming4	respond | glorious | order	responded to the glorious summons;
254w	靖四方	ching4 ssŭ4 fang1	quiet | four | square	he tranquillised the four corners (N.S.E. and W.),
254x	克大定	k'o4 ta4 ting4	achieve | great | settle	and achieved the final settlement of the empire.
254a	遼金元	liao2 chin1 yüan2	liao | chin | yüan	The Liao, Chin, and Yüan dynasties
254b	爭宋鼎	chêng1 sung1 ting3	contend | sung | tripod	fought for the empire of the Sungs;
254c	天運環	t'ien1 yün4 huan2	heaven | revolve | ring	and so time went on
254d	至帝昺	chih4 ti4 ping3	reach | ruler | ping	until the reign of the Emperor Ping.
254e	元世祖	yüan1 shih4 tsu3	yüan | generation | ancestor	Shih Tsu of the Yüan dynasty
254f	始正位	shih3 chêng4 wei4	begin | proper | seat	was the first to actually occupy the throne;
254g	八十八	pa1 shih2 pa1	eight | ten | eight	the dynasty lasting eighty-eight years,
254h	共九帝	kung3 chiu3 ti4	together | nine | rulers	with nine Emperors in all.
254i	羣雄起	ch'ün2 hsiung2 ch'i3	flock | martial | rise	A crowd of combatants arose,
254j	太祖征	t'ai4 tsu3 chêng1	extreme | ancestor | vanquish	of whom T'ai Tsu remained the conqueror.
254k	國號明	kuo2 hao4 ming2	state | style | ming	The dynasty was called the Ming,
254l	元順奔	yüan2 shun4 pên1	yüan | shun | fled	and the Mongol Emperor Shun fled.
254m	成祖繼	ch'êng2 tsu3 chi4	complete | ancestor | connect	When Ch'êng Tsu succeeded,
254n	立兩京	li4 liang3 ching1	establish | two | city	he made two capitals.
254o	十七主	shih2 ch'i1 chu3	ten | seven | lord	There were seventeen Emperors,
254p	止崇禎	chih2 ch'ung2 chêng1	stop | ch'ung | chêng	the line ending with Ch'ung Chêng.
254q	闖賊亂	ch'uang3 tsei2 luan4	ch'uang | rebel | confusion	The rebel Ch'uang threw everything into confusion,
254r	明運竭	ming2 yün4 chieh2	ming | fortune | exhaust	and the prosperity of the Mings was exhausted.
254s	大兵至	ta4 ping1 chih4	great | soldier | arrive	Then valiant soldiers came on the scene,
254t	賊隨滅	tsei2 sui2 mieh4	rebels | follow | extinguish	and the rebels were forthwith extinguished.
254u	順治立	shun4 chih4 li4	shun | chih | establish	Shun Chih mounted the throne,
254v	號大清	hao4 ta4 ch'ing1	style | great | pure	and his dynasty was called the Ta Ch'ing.
254w	臣民服	ch'ên2 min2 fu2	minister | people | submit	Officials and people acknowledged his sway,
254x	天下平	t'ien1 hsia4 p'ing2	heaven | below | level	and the empire was at peace.
254α	胡元盛	hu2 yüan2 shêng4	beard | yüan | prosperous	Then the bearded Yüans waxed powerful,
254β	滅遼金	mieh4 liao2 chin1	destroy | liao | chin	and destroyed the Liao and Chin dynasties.
254γ	承宋統	ch'êng2 sung4 tung3	receive | sung | clue	They took over the sceptre of the Sungs,
254δ	十四君	shih2 ssǔ4 chün1	ten | four | prince	fourteen rulers in all.
254ε	大明興	ta4 ming2 hsing1	great | ming | rise	Then the Great Ming dynasty arose,
254ζ	逐元帝	chu2 yüan2 ti4	expel | yuan | ruler	drove out the Mongol Emperor,
254η	統華夷	t'ung2 hua2 i2	control | flowery | barbarian	bringing Chinese and barbarians alike under its sway;—
254θ	傳萬世	ch'uan2 wan4 shih4	transmit | myriad | generation	may it endure for ever and ever!
